[2026-07-21T07:54:54.000Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.111.woff2 → 200 (26ms, 7929B)
[2026-07-21T07:55:09.384Z] GET http://localhost:5199/ → 200 (5ms, ?B)
[2026-07-21T07:55:09.390Z] GET http://localhost:5199/@vite/client → 200 (2ms, ?B)
[2026-07-21T07:55:09.390Z] GET https://fonts.googleapis.com/css2?family=Black+Han+Sans&family=Archivo+Black&family=IBM+Plex+Sans+KR:wght@400;500;700&family=IBM+Plex+Mono:wght@400;500;700&display=swap → 200 (?ms, -698B)
[2026-07-21T07:55:09.390Z] GET http://localhost:5199/src/main.tsx → 200 (2ms, ?B)
[2026-07-21T07:55:09.392Z] GET http://localhost:5199/@react-refresh → 200 (3ms, ?B)
[2026-07-21T07:55:09.392Z] GET http://localhost:5199/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=a50c1e38 → 200 (1ms, -263B)
[2026-07-21T07:55:09.392Z] GET http://localhost:5199/node_modules/.vite/deps/react-dom_client.js?v=bc6377da → 200 (1ms, -261B)
[2026-07-21T07:55:09.392Z] GET http://localhost:5199/src/App.tsx → 200 (3ms, ?B)
[2026-07-21T07:55:09.392Z] GET http://localhost:5199/src/i18n.tsx → 200 (4ms, ?B)
[2026-07-21T07:55:09.392Z] GET http://localhost:5199/src/styles.css → 200 (4ms, ?B)
[2026-07-21T07:55:09.392Z] GET http://localhost:5199/node_modules/vite/dist/client/env.mjs → 200 (4ms, ?B)
[2026-07-21T07:55:09.394Z] GET http://localhost:5199/node_modules/.vite/deps/chunk-UC2AOQOP.js?v=88211866 → 200 (2ms, -264B)
[2026-07-21T07:55:09.394Z] GET http://localhost:5199/node_modules/.vite/deps/chunk-M5LBBGMC.js?v=88211866 → 200 (1ms, -261B)
[2026-07-21T07:55:09.394Z] GET http://localhost:5199/node_modules/.vite/deps/chunk-IKR4LCOY.js?v=88211866 → 200 (5ms, -265B)
[2026-07-21T07:55:09.395Z] GET http://localhost:5199/node_modules/.vite/deps/react.js?v=a50c1e38 → 200 (1ms, -259B)
[2026-07-21T07:55:09.395Z] GET http://localhost:5199/src/data/charts.json?import → 200 (2ms, ?B)
[2026-07-21T07:55:09.395Z] GET http://localhost:5199/src/engine/bots.ts → 200 (2ms, ?B)
[2026-07-21T07:55:09.395Z] GET http://localhost:5199/src/engine/prng.ts → 200 (2ms, ?B)
[2026-07-21T07:55:09.396Z] GET http://localhost:5199/src/net/session.ts → 200 (1ms, ?B)
[2026-07-21T07:55:09.396Z] GET http://localhost:5199/src/components/Home.tsx → 200 (1ms, ?B)
[2026-07-21T07:55:09.396Z] GET http://localhost:5199/src/components/Room.tsx → 200 (1ms, ?B)
[2026-07-21T07:55:09.396Z] GET http://localhost:5199/src/components/Round.tsx → 200 (1ms, ?B)
[2026-07-21T07:55:09.396Z] GET http://localhost:5199/src/components/Intermission.tsx → 200 (1ms, ?B)
[2026-07-21T07:55:09.396Z] GET http://localhost:5199/src/components/Final.tsx → 200 (1ms, ?B)
